USERID,BEGIN_TIME,STARTLONGITUDE,STARTLATITUDE,DURATION
1136,20140824173309,115.530600,38.854100,24
1138,20140818140354,115.544670,38.805300,10
1138,20140821170119,115.327450,38.949883,25
1145,20140814155843,115.598230,38.859370,23
1146,20140812151434,115.396310,38.794670,7
5624,20140813183509,115.461790,38.872110,34
5626,20140813100321,115.446470,38.833150,3
5678,20140814100120,114.987650,38.743290,36
5629,20140813131955,116.000780,39.490240,38
5631,20140813143431,115.623090,39.008900,14
5631,20140824185154,115.800835,39.256668,24
5551,20140811134800,115.502790,38.885120,33
5551,20140813123241,115.496530,38.875850,37
5667,20140816192447,116.036950,39.113420,7
5667,20140823185425,116.036950,39.113420,25
5667,20140823191225,116.036950,39.113420,22
5660,20140812172846,115.126100,38.851090,6
5670,20140819190520,115.749000,39.195600,34
5670,20140823152845,114.987650,38.743290,23
5671,20140811175121,115.955950,39.184000,33
5674,20140811154518,116.007260,39.484150,22
5676,20140824153806,115.965010,39.428450,36
5828,20140812110244,115.263010,38.695300,32
5828,20140812124637,115.426400,39.024700,32
5719,20140817140054,115.504456,38.842400,10
5723,20140815172024,115.775790,38.688595,36
5726,20140823115248,115.127800,38.836700,18
5731,20140823120714,115.744160,38.844166,31
5732,20140813101405,116.023140,39.104218,13
5626,20140814175437,115.449100,38.826790,30
5678,20140811163640,114.980430,38.742750,25
5627,20140816153241,116.033320,39.124860,17
5631,20140815105826,115.800835,39.256668,1
5632,20140816101623,114.748690,38.854320,27
5551,20140811182028,115.496530,38.875850,1
5656,20140820103630,114.964250,38.747580,32
5661,20140814175816,115.466270,38.812340,17
5671,20140814174856,115.955950,39.184000,15
5720,20140819172658,116.007260,39.484150,28
5722,20140820131844,115.926160,38.924130,28
5722,20140821112813,115.918800,38.932800,35
5730,20140811140510,115.517555,38.876630,6
5730,20140815183530,115.892110,38.593010,4
5730,20140818165754,115.525150,38.875990,8
5732,20140818154352,116.023140,39.104218,2
5733,20140814115801,115.442210,38.813900,14
5733,20140824105149,115.538490,38.900780,20
5816,20140822182331,115.456310,38.783980,19
5817,20140812101814,115.385770,38.860806,40
1001,20140823124636,115.538210,38.850200,18
1060,20140812190001,115.495120,39.349365,32
975,20140816151753,115.746210,38.681170,18
976,20140812131221,115.405800,38.840380,10
976,20140817144746,115.448610,38.840830,11
982,20140811160518,115.449770,39.298750,30
2258,20140824120208,115.025680,38.387290,36
2220,20140814170830,115.294330,38.966580,32
2346,20140816160624,115.898520,39.372130,32
2361,20140818135331,115.316390,38.960000,23
2362,20140814155220,116.132700,39.002250,3
2403,20140812110729,116.032104,39.107105,3
2403,20140815120252,116.032104,39.107105,7
2403,20140816171708,116.032104,39.107105,5
2368,20140815174618,115.489420,38.862667,10
2371,20140818133508,115.500000,38.819168,40
2351,20140813113828,115.803850,39.261936,12
7142,20140818114742,115.484440,38.854717,13
7144,20140816124439,115.576110,38.847500,7
7144,20140822121504,115.499250,38.846660,33
7146,20140818175227,115.381850,38.834840,30
9112,20140815180252,115.495120,39.349365,32
9113,20140811134353,116.023160,39.129814,32
8814,20140812142615,115.857990,38.887340,10
8814,20140815122648,115.812225,38.866390,13
8815,20140816162350,115.460720,38.845780,22
725,20140818135211,115.507540,38.800000,9
1542,20140814155837,115.527220,38.860558,33
1159,20140812163156,115.489420,38.862667,9
606,20140823113620,115.419520,38.818850,11
1172,20140824105230,115.490135,38.766407,25
767,20140816165015,115.064280,38.786600,11
767,20140817142551,115.436900,38.886130,13
1149,20140813104208,115.426550,38.923150,33
7285,20140814150537,114.998190,38.516320,6
971,20140821140232,115.998710,39.493210,18
505,20140812101910,115.251930,38.795780,13
812,20140812143318,115.780130,38.690020,30
812,20140815192202,115.774700,38.680200,10
9626,20140823150653,115.460730,38.845634,21
9687,20140815105829,115.412476,39.042576,12
2195,20140814105324,115.517080,38.883602,2
6368,20140824143946,115.168260,38.912020,18
6520,20140820172508,115.492200,38.858310,31
6418,20140820173207,115.327450,38.949883,29
622,20140811181147,115.400000,38.874200,11
622,20140815141206,115.319080,38.934155,14
622,20140819112705,115.511110,38.878613,11
622,20140819160646,116.032104,39.107105,34
623,20140824174917,115.565834,38.942500,24
623,20140824182625,115.623090,39.008900,20
6269,20140819134623,115.359540,38.335190,24
6280,20140811152247,116.037920,39.133220,32
6289,20140815183237,115.458800,38.827450,7
6289,20140819114901,115.466230,38.822670,38
6291,20140816191856,116.043500,38.942800,26
6292,20140811174945,115.466270,38.812340,23
6292,20140814142204,115.466270,38.812340,10
6292,20140819133214,115.466270,38.812340,8
6459,20140819110300,115.970000,39.489445,10
6459,20140823120405,115.985150,39.453310,21
6460,20140816185006,115.468190,38.896760,10
6460,20140817181916,115.474340,38.890070,12
6460,20140823110849,115.524050,38.890244,25
6461,20140815100758,115.353060,38.806946,36
6461,20140817102226,115.437720,38.829872,18
6461,20140817122329,116.107590,38.982056,25
6462,20140811184528,115.494100,38.863650,9
6462,20140821123150,115.492200,38.858310,14
6462,20140822122521,115.492200,38.858310,38
6463,20140815180459,115.465910,38.852830,32
6464,20140819170253,115.507225,38.837223,23
6447,20140814170120,115.489420,38.862667,12
6447,20140822154339,115.489420,38.862667,29
6448,20140812134826,115.450040,38.816370,13
6448,20140822135150,115.450040,38.816370,26
6449,20140815161759,115.406100,38.820374,12
6449,20140817113654,115.467224,38.830555,11
5987,20140812142649,115.473840,38.845000,17
6011,20140814121928,115.322900,38.405400,6
6011,20140816151221,115.320560,38.416110,3
6011,20140817122735,115.320560,38.416110,30
5990,20140817170758,115.270210,38.417410,40
1284,20140824100543,115.507250,38.851040,22
1285,20140811190054,115.638070,39.029280,4
1285,20140816180630,115.638070,39.029280,12
1285,20140817114133,115.490660,38.818750,12
1285,20140821123528,115.638070,39.029280,12
1285,20140824184422,115.638070,39.029280,20
1393,20140811121756,115.775900,38.688683,30
1278,20140812114150,115.489105,38.889362,30
1282,20140815150935,115.468190,38.896760,1
621,20140813104633,115.510925,38.854284,2
622,20140811153111,114.974790,38.509630,24
624,20140814122958,115.500000,38.819168,8
6269,20140823165904,115.322500,38.289170,23
6270,20140812121546,115.476230,38.817330,9
6271,20140814134320,115.786940,38.696945,11
6271,20140818112822,115.764240,38.689600,12
6271,20140818175440,115.782340,38.645020,7
6271,20140821183538,115.770730,38.700172,24
6273,20140820111859,115.582820,39.275390,33
6274,20140813192351,115.926010,38.924100,37
6280,20140812113417,116.027756,39.118725,1
6282,20140813152705,115.784035,38.682990,1
6282,20140817162519,115.784035,38.682990,12
6282,20140824161623,115.784035,38.682990,31
6292,20140816160826,115.466270,38.812340,10
6292,20140819191650,115.466270,38.812340,13
6292,20140821133634,115.466270,38.812340,9
6292,20140824173725,115.466270,38.812340,22
6460,20140822115148,115.524050,38.890244,11
6462,20140815160125,115.492200,38.858310,14
6462,20140818102430,115.491910,38.855470,13
6462,20140821172251,115.496390,38.856945,16
6464,20140819163618,115.500790,38.831380,27
6445,20140819135641,115.456665,38.852787,3
6445,20140822161600,115.463010,38.891567,26
6447,20140815164040,115.494100,38.863650,12
6448,20140814134321,115.450040,38.816370,12
6448,20140821144800,115.444050,38.859370,30
6449,20140813173555,115.351590,38.468450,14
6449,20140819150138,115.524050,38.890244,28
6450,20140820122331,115.474800,38.860725,27
6450,20140821192823,115.496120,38.865550,23
6453,20140811173105,115.499180,38.885200,30
6453,20140816123337,115.523910,38.855320,31
6453,20140817182430,115.483960,38.881090,27
6011,20140816181314,115.317474,38.421480,38
5991,20140811110955,115.926160,38.924130,37
1237,20140815121851,115.568880,38.873480,26
7404,20140813130041,115.775900,38.688683,15
7404,20140815131435,115.774700,38.680200,33
1285,20140817163600,115.638070,39.029280,3
1392,20140811131410,115.777400,38.695800,20
1282,20140812140121,115.450030,38.898293,32
1282,20140822180753,115.468190,38.896760,33
1388,20140813182646,115.436900,38.886130,1
1389,20140814180934,115.439010,39.060800,25
1369,20140817153431,115.477070,38.892800,17
1370,20140813143530,115.448660,38.877914,1
1370,20140822152829,115.444800,38.882800,22
1289,20140817174947,114.682290,39.358810,12
1391,20140814110209,115.775790,38.688595,33
1391,20140817143644,115.758240,38.673990,18
1294,20140811131000,115.477190,38.864210,32
1294,20140813125148,115.448550,38.901560,10
936,20140822110154,115.143590,38.689710,21
937,20140811145238,115.379390,38.815200,30
939,20140814184328,116.027756,39.118725,26
943,20140815174326,115.352610,38.998340,18
946,20140820141908,116.092500,38.979443,14
946,20140821124603,116.093180,38.987774,16
950,20140813115229,116.088210,38.982037,24
951,20140815181436,116.027830,39.465270,4
951,20140824110706,116.100840,39.000553,28
2164,20140821132943,115.965675,38.928513,11
2167,20140822161321,115.489420,38.862667,37
2167,20140823164138,115.478800,38.768784,33
2167,20140824132918,115.488050,38.853333,18
2172,20140822174108,115.505554,38.871113,11
2178,20140821160924,115.335170,38.424660,37
7622,20140815185058,115.482080,38.899510,37
7622,20140821172145,115.482080,38.899510,29
7577,20140811142213,114.614720,39.348550,32
7578,20140820112425,116.036950,39.113420,12
7558,20140811131550,115.780130,38.690020,30
7558,20140815133748,115.777400,38.695800,6
7127,20140819132328,115.996290,39.482970,4
7128,20140822181517,115.744560,38.704357,20
7129,20140812165937,115.483980,38.881058,6
7130,20140816112147,115.770600,38.685150,17
7134,20140814140413,116.027756,39.118725,38
7134,20140820131419,115.379390,38.815200,31
7136,20140819141314,115.452720,38.888570,25
7139,20140814144808,115.823230,39.063800,33
7141,20140824120314,115.473840,38.845000,23
5707,20140816111755,115.441100,38.849110,25
4662,20140815174626,115.393330,39.368110,11
4663,20140813190439,115.551420,39.320100,34
4665,20140813133315,115.467780,38.892048,19
4670,20140814131347,116.036950,39.113420,8
4716,20140813124934,115.444500,38.818870,19
4810,20140811100241,115.126100,38.851090,30
4814,20140820163734,115.354210,38.517920,22
5034,20140820103706,115.502010,38.860996,18
4959,20140818113632,115.478510,38.929470,11
1398,20140816145846,115.970000,39.489445,5
1398,20140818182111,116.014850,39.483166,8
1432,20140813185709,115.143590,38.689710,30
1434,20140812144142,115.317474,38.421480,32
1437,20140821152449,115.460730,38.845634,28
1438,20140812151825,114.864310,38.964790,9
1440,20140819144323,115.398310,38.885242,10
1419,20140811144422,115.308100,38.424600,30
1442,20140814151203,115.126100,38.851090,23
1444,20140822131340,115.542260,39.332220,37
2015,20140811190532,115.479910,38.858800,30
795,20140818163152,115.770350,38.855370,11
795,20140820105631,115.489420,38.862667,31
826,20140813150242,115.809150,39.288470,37
828,20140815175633,115.564430,39.355900,17
830,20140813164912,115.105890,38.755272,7
1290,20140812123058,115.473840,38.845000,11
5626,20140824133551,115.453070,38.846504,26
5631,20140814130718,115.800835,39.256668,10
5631,20140814182930,115.800835,39.256668,12
5631,20140822185312,115.803850,39.261936,11
5551,20140815160234,115.598230,38.859370,18
5664,20140821113945,115.458800,38.827450,17
5656,20140817161612,114.823960,38.716870,1
5661,20140813171949,115.450040,38.816370,32
5673,20140815102429,115.530600,38.854110,25
5718,20140818193233,115.784035,38.682990,34
5719,20140820162021,115.483055,38.865276,31
5721,20140815182052,115.462250,38.865200,34
5722,20140813110016,115.916930,38.922840,8
5722,20140815143615,115.926160,38.924130,7
5726,20140815122516,115.462250,38.865200,15
5730,20140813172920,115.525150,38.875990,11
5730,20140815115710,115.296670,38.869446,3
5731,20140823160803,115.744160,38.844166,27
5732,20140815192539,116.033320,39.124860,3
5732,20140822112746,116.036950,39.113420,18
5817,20140816104735,115.448550,38.901560,17
999,20140813165601,115.426400,39.024700,2
1056,20140811111503,115.689700,38.363670,33
976,20140812163854,115.406100,38.820374,11
976,20140822165219,115.298676,38.788033,24
977,20140817111025,115.311030,38.401043,1
2362,20140820174631,116.100840,39.000553,23
2365,20140815121128,115.797516,38.978040,31
2368,20140820181544,115.180590,38.723038,4
2368,20140823190933,115.462250,38.865200,25
2371,20140819171727,115.490660,38.818750,33
2351,20140812172325,115.800835,39.256668,12
2351,20140815182148,115.792100,39.271900,11
7142,20140821160917,115.484440,38.854717,32
7144,20140817112115,115.644230,38.889000,7
7144,20140821171635,115.525150,38.875990,37
7146,20140812165905,115.438300,38.881330,3
8814,20140816153459,115.812225,38.866390,14
8814,20140818133504,115.785220,38.855620,7
601,20140814145729,115.451510,38.854790,34
1172,20140812100240,115.490135,38.766407,1
136,20140820165830,115.484400,38.861150,25
611,20140815114405,115.523910,38.855320,19
6930,20140811101203,116.007260,39.484150,34
6930,20140814120410,115.988430,39.477250,1
6931,20140814122006,115.454544,38.896810,14
1270,20140821172135,115.011780,38.499870,34
723,20140811154220,115.465590,38.878433,34
1151,20140814165609,115.422940,38.875400,8
9681,20140818161819,115.488050,38.853333,2
7583,20140812132541,115.766820,38.921757,32
7586,20140823183838,115.463010,38.891567,24
9629,20140812114343,115.454200,38.862710,30
9687,20140823171429,115.483490,38.889053,29
9688,20140816190129,116.011800,39.125298,27
962,20140823170100,115.463010,38.891567,25
6422,20140817124713,115.333930,38.409420,38
6371,20140824161135,115.452720,38.888570,27
6564,20140812125740,115.968450,39.477920,12
969,20140812175545,115.988430,39.477250,1
6356,20140816123354,114.972040,38.745380,36
6359,20140815155336,115.452720,38.888570,4
9942,20140818110932,114.777220,38.701940,13
6427,20140824134957,116.042560,38.918700,18
604,20140823113553,115.486590,38.846410,31
621,20140816102058,115.497010,38.902010,26
500,20140812135000,115.440090,39.004814,17
6270,20140820112412,115.466270,38.812340,2
6282,20140812172247,115.784035,38.682990,1
6282,20140819180111,115.784035,38.682990,8
6282,20140820144144,115.780130,38.690020,13
6284,20140811121328,115.511400,38.857890,2
6288,20140817120305,115.200010,38.658100,30
6289,20140820145159,115.458800,38.827450,35
6459,20140811114126,115.768130,39.268040,1
6460,20140813152635,115.490395,38.880974,1
6461,20140817130350,116.109340,38.988250,21
6462,20140816133229,115.492200,38.858310,4
6462,20140818183610,115.492200,38.858310,2
6463,20140814150504,115.448550,38.901560,32
6464,20140812110630,115.507225,38.837223,24
6464,20140814160539,115.507220,38.845680,31
6445,20140812132929,115.465800,38.852870,1
6445,20140814122438,115.453070,38.850210,6
6446,20140817105039,115.644196,39.004790,33
6446,20140818150429,115.490005,38.893246,18
6447,20140812105043,115.498400,38.868520,7
6447,20140815171831,115.489420,38.862667,13
6447,20140818111550,115.351590,38.468450,1
6448,20140819135745,115.450040,38.816370,5
6448,20140819153934,115.492200,38.858310,12
6449,20140821164657,115.158340,38.714672,24
6450,20140815141906,115.494100,38.863650,34
6451,20140811125129,115.437690,38.857964,14
6452,20140811135340,115.389310,38.994580,33
6452,20140817122125,115.809630,39.386940,18
6458,20140815191732,115.937930,39.405500,26
5987,20140811131750,115.476230,38.817330,35
6011,20140817153336,115.320560,38.416110,26
1206,20140814123837,115.887620,39.382430,34
1285,20140821165655,115.638070,39.029280,17
1392,20140811113614,115.770600,38.685150,35
1272,20140812170330,114.194954,38.845020,13
1278,20140812160051,115.484440,38.854717,6
1283,20140811175335,116.014850,39.483166,31
1283,20140814105835,116.014850,39.483166,5
1283,20140816100025,116.014850,39.483166,8
1366,20140813103435,115.353010,38.807010,7
1367,20140811104501,115.327450,38.949883,33
1368,20140815135036,115.553750,38.865150,22
1289,20140818114047,114.695430,39.352420,10
1289,20140824113632,114.695430,39.352420,29
5623,20140813110355,115.877396,39.309998,35
5624,20140812164242,114.838330,39.366390,38
5624,20140816155203,115.460205,38.850365,30
5631,20140811162138,115.800835,39.256668,35
5631,20140815193154,115.800835,39.256668,12
5631,20140821113740,115.800835,39.256668,14
5550,20140812182410,115.945000,39.427500,37
5667,20140817180805,116.036950,39.113420,19
5830,20140814151950,115.330640,38.963790,8
5726,20140813163606,115.134500,38.836500,14
5726,20140816124553,115.127800,38.836700,33
5729,20140817143210,115.478780,38.768790,34
5731,20140812143728,115.744170,38.844166,5
5733,20140817122710,115.462950,38.817400,7
5815,20140824110032,115.465200,38.772743,22
1062,20140817130944,115.326010,38.428700,18
1055,20140817152837,115.373880,39.304280,12
1057,20140822110235,115.495100,39.349384,21
1065,20140815100739,115.320560,38.416110,38
1065,20140815161549,115.333930,38.409420,34
976,20140815115457,115.353060,38.806946,14
977,20140822105754,115.320560,38.416110,29
2219,20140817173537,114.883230,38.532720,27
2361,20140818171610,115.542250,39.158360,23
2362,20140816143131,115.624985,39.023354,34
2364,20140817145651,115.357040,39.010620,36
2365,20140821192120,115.934010,38.963200,27
2368,20140812183841,115.516000,38.812500,11
2368,20140815122753,115.462250,38.865200,11
2368,20140824122957,115.462250,38.865200,21
2371,20140819183243,115.502010,38.860996,17
2351,20140819112624,115.803850,39.261936,11
2351,20140819153615,115.811540,39.266130,17
7142,20140816105959,115.465800,38.852870,12
7142,20140820134858,115.486755,38.873230,8
7143,20140823185012,116.092500,38.979443,22
7144,20140811192902,115.609170,38.883190,33
9128,20140813115935,115.373610,38.593330,8
9128,20140814163229,115.364080,38.456990,32
8373,20140816101700,115.326600,38.423500,2
8375,20140814143406,114.674740,39.349720,1
1158,20140824134249,114.975975,38.746124,18
1167,20140817154349,115.490370,38.881010,37
898,20140812161524,116.024310,39.112280,8
900,20140815185347,115.222420,38.853700,27
226,20140812170533,115.096840,38.815770,30
609,20140822164517,115.494774,38.861360,7
610,20140816102307,115.451836,38.884262,29
6930,20140817154334,115.996290,39.482970,13
6931,20140817105649,115.454544,38.896810,37
1270,20140823130313,115.000175,38.504590,26
1142,20140817124459,115.452720,38.888570,10
286,20140812172048,116.126670,38.982910,12
6898,20140817161203,115.495120,39.349365,27
6994,20140824110417,115.443440,38.865097,18
9681,20140814193108,115.460730,38.845634,14
9681,20140824105334,115.484440,38.854717,22
972,20140811102048,115.460860,38.806420,30
506,20140812155417,116.105100,38.993700,36
9687,20140818105010,115.426400,39.024700,7
9689,20140813151427,115.401050,38.856260,32
974,20140814113340,115.511505,38.901880,12
6365,20140813171030,115.500790,38.831380,13
815,20140812102929,115.474770,38.874035,32
6554,20140821113209,115.461790,38.872110,38
6354,20140813103046,116.007260,39.484150,4
6559,20140811191059,115.461640,38.871180,7
6565,20140813102515,115.774700,38.680200,37
621,20140811100150,115.510925,38.854284,23
621,20140813134918,115.509460,38.887230,11
624,20140812182749,115.537900,38.839500,11
6270,20140814122048,115.466270,38.812340,13
6271,20140822145336,115.758240,38.673990,20
6274,20140817185519,115.926010,38.924100,22
6275,20140811182646,115.268180,39.322150,37
6275,20140818114820,115.268180,39.322150,22
6279,20140816105850,115.128110,38.709904,34
6282,20140818165246,115.784035,38.682990,12
6289,20140817180520,115.458800,38.827450,2
6289,20140822184245,115.458800,38.827450,31
6459,20140819170356,115.509254,39.336235,29
6459,20140822130421,115.483955,38.869194,25
6460,20140822183607,115.468190,38.896760,28
6462,20140813114402,115.491910,38.855470,2
6462,20140814144727,115.491910,38.855470,4
6462,20140824144753,115.491910,38.855470,22
6462,20140824164941,115.494100,38.863650,18
6445,20140813182505,115.461945,38.858334,9
6446,20140816174752,115.483490,38.889053,37
6447,20140822104347,115.489420,38.862667,32
6448,20140816121705,115.450040,38.816370,9
6453,20140812150746,115.527220,38.860558,3
6453,20140815111500,115.451840,38.884260,5
6455,20140812104410,115.354866,39.177780,32
6456,20140817110931,116.027390,39.488827,23
6458,20140814173557,116.040000,39.489800,34
6428,20140812151312,114.695300,39.352500,14
6011,20140812151140,115.320560,38.416110,6
6011,20140817112642,115.320560,38.416110,34
5990,20140816182509,115.295170,38.423300,4
5990,20140821165708,115.265724,38.295204,33
1284,20140815120439,115.371660,39.032360,5
1285,20140814130528,115.638070,39.029280,2
1285,20140814191216,115.638070,39.029280,4
1285,20140818192116,115.638070,39.029280,8
1285,20140819111806,115.489456,38.802994,2
1285,20140824113510,115.638070,39.029280,24
1271,20140814193046,115.465450,38.841240,32
1272,20140822160624,114.194954,38.845020,16
1272,20140824110344,114.194954,38.845020,19
1274,20140813144900,115.454720,38.619450,31
621,20140813161636,115.510925,38.854284,34
622,20140811174141,115.180560,38.723070,9
622,20140813121309,115.517555,38.876630,12
622,20140817170106,115.453070,38.846504,3
622,20140820170854,115.502010,38.860996,31
624,20140822105928,115.537900,38.839500,33
6270,20140822114227,115.466270,38.812340,30
6278,20140811124019,115.363490,38.942340,30
6280,20140816105527,116.037920,39.133220,32
6280,20140817152242,116.023140,39.104218,17
6282,20140816181632,115.784035,38.682990,9
6282,20140817114836,115.762780,38.684444,11
6284,20140823145512,115.530600,38.854100,35
6289,20140813164631,115.458800,38.827450,6
6289,20140814114045,115.458800,38.827450,5
6289,20140815154629,115.458800,38.827450,5
6292,20140814174124,115.466270,38.812340,2
6460,20140812142138,115.524050,38.890244,36
6460,20140813165713,115.494064,38.881210,11
6462,20140818162206,115.491910,38.855470,2
6462,20140819180551,115.492200,38.858310,1
6445,20140820153339,115.452740,38.908540,38
6445,20140821135438,115.465800,38.852870,34
6447,20140816111444,115.379390,38.815200,10
6447,20140818172732,115.489420,38.862667,36
6448,20140821134341,115.450040,38.816370,34
6448,20140824133014,115.450040,38.816370,22
6449,20140811124747,115.489456,38.802994,35
6449,20140819133102,115.490560,38.796590,17
6451,20140814143406,115.446080,38.855030,4
6451,20140817154323,115.456360,38.858550,40
6452,20140812151319,115.389310,38.994580,33
6453,20140815153458,115.451840,38.884260,2
5862,20140812111754,114.540750,38.850197,25
7404,20140816195702,115.775790,38.688595,18
1284,20140821102410,115.510920,38.854305,30
1285,20140820172143,115.638070,39.029280,9
1272,20140811192100,114.194954,38.845020,34
1272,20140817190807,114.181960,38.852570,1
1272,20140818133748,115.476500,38.856533,3
1274,20140815113603,115.454720,38.619450,23
1276,20140824182832,115.489120,38.889210,28
1278,20140814120349,115.488140,38.853460,38
1283,20140814181628,115.996290,39.482970,4
1388,20140815111949,115.438290,38.881325,36
1366,20140813182530,115.353010,38.807010,12
1367,20140815100942,115.363480,38.942326,33
1370,20140818152338,115.442780,38.878613,38
1289,20140811192712,114.698450,39.346470,25
1290,20140822171822,115.461640,38.871040,20
1390,20140817190325,115.005180,38.521595,19
1291,20140813110518,115.475400,38.910670,7
1291,20140818163706,115.488050,38.853333,12
1291,20140822142032,115.492200,38.858310,29
1355,20140813125630,115.471214,38.904900,13
1355,20140817141159,115.449100,38.826790,12
1355,20140818100658,115.483330,38.873000,3
1355,20140820183414,115.460000,38.874800,3
941,20140820192632,115.485275,38.858055,25
946,20140815172546,116.097370,38.977340,12
2164,20140823193816,116.048060,38.960556,24
2164,20140824123345,115.974390,38.897060,20
2168,20140813192719,115.929570,38.926810,33
2168,20140820164245,115.504680,38.879730,18
2172,20140817105750,115.489420,38.862667,1
2172,20140821174749,115.502010,38.860996,11
2177,20140816160604,115.964190,39.170300,18
2178,20140811111841,115.327510,38.436980,33
7621,20140817175526,114.833940,38.928750,34
7622,20140820172103,115.482080,38.899510,19
7558,20140815124547,115.777400,38.695800,4
7131,20140814141035,115.387500,39.681100,17
7133,20140814160629,115.801200,39.273000,30
4662,20140819131811,115.495100,39.349384,10
4664,20140813160336,115.460720,38.845780,34
4665,20140817145603,115.458000,38.959900,25
4669,20140823151321,115.965010,39.428450,18
4810,20140812132019,115.126100,38.851090,26
9155,20140812173526,115.746210,38.681170,29
9157,20140811104252,115.488050,38.853333,37
6294,20140816173419,116.093180,38.987774,1
1397,20140824155347,115.432000,38.852000,23
1398,20140814155232,116.009990,39.489360,6
1431,20140815160032,115.488830,39.318010,12
1432,20140811193115,115.258310,38.909110,23
