ARRIVAL_TIME,USERID,INCOME,ENTERTAINMENT,BABY,GENDER,SHOPPING,user_lon,user_lati,DURATION,SHOPID,shop_lon,shop_lati,class,train
20140812101731,4145,2,1,1,2,7,115.456670,39.361940,34,4691,115.502111,39.361972,6,"1"
20140812101758,6055,2,1,1,2,7,116.007610,39.477978,33,7068,116.009571,39.482704,6,"1"
20140812101806,1493,2,6,0,1,5,115.973040,39.496850,33,7163,116.005168,39.497217,6,"1"
20140812101814,5817,3,3,0,1,9,115.385770,38.860806,40,4895,115.455643,38.892283,6,"1"
20140812101830,6430,2,1,1,2,2,114.746200,39.041150,32,10387,114.761727,39.058153,1,"1"
20140812101839,3739,2,6,0,1,5,115.500790,38.831380,19,7350,115.504410,38.839798,8,"1"
20140812101851,3020,3,1,1,2,7,115.421190,38.897114,34,9010,115.461647,38.912135,2,"1"
20140812101855,338,2,1,1,2,7,115.489456,38.802994,26,4942,115.494175,38.823869,6,"1"
20140812101939,3385,2,6,0,1,5,115.490005,38.893246,36,7955,115.496841,38.899718,8,"1"
20140812102002,4843,2,2,0,1,5,115.775790,38.688595,36,3536,115.779776,38.689377,6,"1"
20140812102010,2432,2,1,1,2,7,115.439990,38.852020,24,9142,115.481441,38.855092,1,"1"
20140812102024,9440,2,1,1,2,7,115.458600,38.891510,36,4962,115.459842,38.898882,6,"1"
20140812102033,3053,2,3,1,2,8,116.090670,38.996610,36,5338,116.111390,38.998586,6,"1"
20140812102035,7247,2,1,1,2,7,116.011800,39.125298,24,6472,116.037866,39.128145,6,"1"
20140812102047,719,2,1,1,2,7,115.760960,38.987230,35,11590,116.015833,39.194655,1,"1"
20140812102057,6792,2,1,1,2,7,115.396310,38.794670,37,648,115.453042,38.835161,1,"1"
20140812102100,7442,2,1,1,2,7,114.181960,38.852570,25,8506,114.186973,38.852886,1,"1"
20140812102105,7314,2,1,1,2,7,115.447395,39.257725,38,11273,115.473553,39.314088,1,"1"
20140812102113,5379,3,1,0,1,6,115.456310,38.783980,34,664,115.474703,38.851994,9,"1"
20140812102114,3955,2,1,1,2,2,115.492550,38.867867,36,8979,115.497348,38.868114,1,"1"
20140812102127,7238,2,6,0,1,5,115.353010,38.807010,24,18,115.368972,38.814149,8,"1"
20140812102138,4050,2,4,0,1,6,115.336235,39.013660,35,7356,115.451286,39.067475,8,"1"
20140812102147,4613,1,2,1,1,5,115.512665,39.441750,33,11812,115.596872,39.460954,1,"1"
20140812102150,9740,2,1,1,2,7,114.695300,39.352500,30,10843,114.696921,39.359935,1,"1"
20140812102154,3932,2,2,0,2,1,115.489105,38.889362,34,5034,115.490108,38.901529,6,"1"
20140812102208,6590,2,4,0,1,6,115.486590,38.846410,24,7341,115.489677,38.863584,8,"1"
20140812102226,9817,3,1,0,1,6,115.134120,38.699980,16,1791,115.159491,38.715852,6,"1"
20140812102300,2809,1,2,1,2,4,115.764240,38.689600,36,9900,115.786134,38.695227,3,"1"
20140812102332,8408,2,6,0,1,5,115.510920,38.854305,34,9,115.520797,38.855577,8,"1"
20140812102333,2523,2,1,1,2,7,115.499240,38.846680,33,9027,115.505559,38.848285,1,"1"
20140812102345,7870,2,1,1,2,7,114.991520,38.495330,38,8846,115.002446,38.506044,1,"1"
20140812102347,8311,3,3,0,1,9,115.478430,39.348877,28,4671,115.494498,39.358345,6,"1"
20140812102354,2328,2,1,1,2,2,115.322900,38.405400,30,8860,115.335131,38.424071,1,"1"
20140812102354,5413,2,1,1,2,7,116.028060,39.482310,30,7155,116.038544,39.489471,6,"1"
20140812102359,7798,1,2,1,1,5,115.474800,38.860725,30,9215,115.483664,38.860971,1,"1"
20140812102402,9782,3,3,0,1,9,114.249245,38.785744,32,1250,114.269689,38.834993,6,"1"
20140812102411,4367,2,1,1,2,7,115.466270,38.812340,25,10494,115.474694,38.814135,1,"1"
20140812102411,5180,2,6,0,1,5,115.482160,38.840534,24,9121,115.488229,38.877644,1,"1"
20140812102417,2604,2,1,1,2,7,115.744170,38.844166,24,10635,115.780747,38.860227,1,"1"
20140812102442,3100,3,3,0,1,9,115.483960,38.881090,37,3725,115.497690,38.893533,6,"1"
20140812102448,9230,2,1,1,2,7,116.023140,39.104218,35,6400,116.032918,39.123967,6,"1"
20140812102546,4023,2,1,1,2,7,115.579970,38.520670,35,9924,115.813427,38.695424,1,"1"
20140812102550,3081,2,1,1,2,7,115.326600,38.423500,23,8860,115.335131,38.424071,1,"1"
20140812102551,2610,1,2,1,1,5,115.353060,38.806946,24,18,115.368972,38.814149,8,"1"
20140812102553,6386,3,3,0,1,9,116.090680,39.142170,33,6229,116.091178,39.179498,6,"1"
20140812102553,7567,3,3,0,1,9,115.355580,38.757980,37,1887,115.479272,38.784315,6,"1"
20140812102559,5297,2,2,0,1,5,115.504420,38.864796,30,3754,115.504692,38.869055,6,"1"
20140812102621,8609,2,2,0,1,5,116.049950,38.974050,40,5331,116.104496,38.981052,6,"1"
20140812102624,5527,1,2,0,1,6,115.304880,38.951366,36,4915,115.347533,38.963577,6,"1"
20140812102639,9530,3,3,0,1,9,116.091095,39.547672,23,6536,116.094470,39.551282,6,"1"
20140812102643,5351,2,6,0,1,5,115.371660,39.032360,34,10495,115.390304,39.036703,1,"1"
20140812102719,8470,2,6,0,1,5,116.088210,38.982033,30,10657,116.100630,38.991709,1,"1"
20140812102807,2972,2,1,0,1,5,115.371660,39.032360,32,7356,115.451286,39.067475,8,"1"
20140812102807,3836,2,1,0,1,6,115.498400,38.868520,36,7920,115.509701,38.881681,5,"1"
20140812102816,7169,2,6,0,1,5,115.379390,38.815200,34,7987,115.461354,38.831557,8,"1"
20140812102825,575,2,1,1,2,2,115.939630,38.986820,25,10541,115.946745,38.994773,1,"1"
20140812102837,508,3,3,0,1,9,114.682290,39.358810,33,5736,114.699267,39.359482,6,"1"
20140812102841,4724,1,2,0,1,5,115.456665,38.852787,30,9151,115.461327,38.853202,1,"1"
20140812102923,2364,1,1,1,2,1,115.357040,39.010620,32,9147,115.363791,39.014231,3,"1"
20140812102927,4239,2,1,1,2,7,115.806350,39.251550,33,11336,115.809080,39.266724,1,"1"
20140812102928,2411,1,2,1,1,5,115.636370,39.019120,35,7942,115.662431,39.027490,8,"1"
20140812102929,815,2,6,0,1,5,115.474770,38.874035,32,3780,115.479899,38.884125,6,"1"
20140812102945,8096,2,1,1,2,7,115.485275,38.858055,34,3847,115.498569,38.864694,6,"1"
20140812102954,658,3,1,0,1,6,115.516050,38.812350,30,9130,115.548418,38.858119,9,"1"
20140812103021,1317,2,1,1,2,7,115.335200,38.424600,35,1051,115.339648,38.426806,6,"1"
20140812103047,752,2,3,1,2,8,116.007610,39.477978,24,6580,116.022641,39.487278,6,"1"
20140812103115,7939,2,3,1,2,8,115.486780,38.844566,36,9104,115.492065,38.855296,1,"1"
20140812103138,7845,3,3,0,1,9,115.489456,38.802994,23,9090,115.490944,38.821620,1,"1"
20140812103138,9533,2,1,1,2,7,114.995056,38.513077,30,8697,114.997979,38.515228,1,"1"
20140812103150,3927,3,3,0,1,9,115.505554,38.871113,31,3817,115.507137,38.876260,6,"1"
20140812103154,5178,1,4,1,2,7,115.458600,38.891510,32,9010,115.461647,38.912135,2,"1"
20140812103156,7777,2,1,1,2,7,115.490524,38.756100,36,1991,115.491582,38.775905,6,"1"
20140812103239,373,2,2,0,1,5,114.980835,38.515846,35,936,114.997658,38.515912,6,"1"
20140812103246,8897,3,3,0,1,9,116.027390,39.488827,32,7095,116.033878,39.488942,6,"1"
20140812103305,6089,2,1,1,2,2,115.078420,38.473190,30,8731,115.099068,38.495399,1,"1"
20140812103335,2623,2,1,1,2,7,115.151085,38.707417,29,1668,115.157071,38.708236,6,"1"
20140812103345,912,2,1,1,2,7,115.840866,38.878090,37,5144,115.885070,38.879202,6,"1"
20140812103403,4568,2,1,1,2,2,115.327990,38.403180,35,8972,115.333775,38.408048,1,"1"
20140812103525,8400,2,1,1,2,7,115.504420,38.864796,32,3830,115.510814,38.875354,6,"1"
20140812103615,820,2,1,1,2,7,116.023140,39.104218,30,11760,116.026430,39.124730,1,"1"
20140812103631,8458,2,1,1,2,7,115.917910,38.612430,18,10605,115.997857,38.928346,1,"1"
20140812103633,6947,2,2,0,1,5,114.955360,38.734860,26,3127,114.963891,38.746715,6,"1"
20140812103649,6342,2,1,1,2,7,115.474800,38.860725,36,9170,115.476874,38.862256,1,"1"
20140812103655,3980,2,2,0,1,6,115.494000,38.814600,23,9149,115.495463,38.821915,9,"1"
20140812103658,4014,1,2,1,1,5,115.462250,38.865200,19,9174,115.465728,38.868493,1,"1"
20140812103704,7940,2,6,0,1,5,115.461930,38.858273,34,8986,115.466368,38.883149,1,"1"
20140812103709,4828,2,1,1,2,2,115.998800,39.524700,34,11932,116.010623,39.531779,1,"1"
20140812103726,6689,2,4,0,1,6,115.473840,38.845000,23,664,115.474703,38.851994,9,"1"
20140812103726,9525,2,1,1,2,7,115.456310,38.783980,36,3171,115.471890,38.789595,6,"1"
20140812103737,5642,2,1,1,2,2,115.734245,39.138588,23,11425,115.748695,39.180058,1,"1"
20140812103737,6378,2,6,0,1,5,115.488050,38.853333,32,7984,115.507220,38.864181,8,"1"
20140812103741,7281,3,1,0,1,6,115.462950,38.817400,27,9165,115.468659,38.830503,1,"1"
20140812103754,9364,2,1,0,1,5,115.440090,39.004814,23,11,115.444044,39.066508,8,"1"
20140812103759,1299,1,2,1,1,5,116.010000,39.489400,31,181,116.019704,39.490626,8,"1"
20140812103803,4827,2,1,1,2,7,115.926010,38.924100,24,10610,115.932048,38.928977,1,"1"
20140812103804,9037,3,3,0,1,9,115.454720,38.619450,37,3180,115.467346,38.619490,6,"1"
20140812103805,7146,2,6,0,1,5,115.694890,38.381650,30,2332,115.810135,38.440762,6,"1"
20140812103817,4977,2,3,1,2,8,115.454720,38.619450,33,3180,115.467346,38.619490,6,"1"
20140812103817,9049,2,6,0,1,5,115.482080,38.899510,37,9025,115.487898,38.900490,1,"1"
20140812103818,6491,2,6,0,1,5,115.565834,38.942500,23,26,115.573532,38.956745,8,"1"
20140812103859,4591,2,2,0,1,5,115.320560,38.416110,24,307,115.334951,38.423584,5,"1"
20140812103902,106,1,2,1,1,5,115.510120,38.865180,33,7330,115.512356,38.867728,8,"1"
20140812103904,4443,2,6,0,1,5,115.811540,39.266130,35,11414,115.822805,39.269370,1,"1"
20140812103915,935,2,1,1,2,7,115.251930,38.795780,30,10482,115.475695,38.882952,1,"1"
20140812103917,1124,2,1,1,2,2,116.012240,39.111385,30,11634,116.025617,39.127200,1,"1"
20140812103932,8334,3,3,0,1,9,115.321640,38.861500,22,4983,115.468185,38.879483,6,"1"
20140812103933,7726,2,1,1,2,7,115.892970,38.844800,30,5257,115.926086,38.931967,6,"1"
20140812103937,3198,2,6,0,1,5,115.474800,38.860725,25,9170,115.476874,38.862256,1,"1"
20140812103944,7753,3,3,0,1,9,115.126100,38.851100,35,4347,115.177319,38.924444,6,"1"
20140812103947,6085,2,1,1,2,7,114.982780,38.521110,40,8842,115.013596,38.522631,1,"1"
20140812103950,8857,2,1,1,2,7,116.024310,39.112280,36,6176,116.038983,39.117354,6,"1"
20140812103953,1559,2,6,0,1,5,114.787560,38.677910,30,3073,114.810693,38.712650,6,"1"
20140812104006,5924,2,1,1,2,2,115.610000,38.994600,32,11336,115.809080,39.266724,1,"1"
20140812104011,3778,1,2,1,2,4,115.775790,38.688595,30,3536,115.779776,38.689377,6,"1"
20140812104042,5624,2,1,1,2,7,114.490190,39.163620,30,5596,114.539720,39.165569,6,"1"
20140812104055,4170,2,1,1,2,7,115.335170,38.424660,34,8034,115.355037,38.434296,1,"1"
20140812104110,976,3,1,0,1,5,115.298676,38.788033,35,7360,115.450844,38.835400,5,"1"
20140812104111,3885,2,6,0,1,5,115.443400,38.917390,30,7356,115.451286,39.067475,8,"1"
20140812104111,6656,2,2,0,1,5,115.462250,38.865200,35,4848,115.474446,38.873690,6,"1"
20140812104153,8355,2,1,1,2,2,115.468790,38.836430,31,9023,115.476652,38.854699,1,"1"
20140812104203,8782,2,1,1,2,7,116.012240,39.111385,35,6472,116.037866,39.128145,6,"1"
20140812104225,9575,3,3,0,1,9,115.648610,39.277780,35,5939,115.665612,39.286023,6,"1"
20140812104243,741,3,1,0,1,6,115.473840,38.845000,23,664,115.474703,38.851994,9,"1"
20140812104258,5888,2,6,0,1,5,114.982780,38.521110,35,958,115.000317,38.521262,6,"1"
20140812104313,5668,3,5,0,1,8,115.069940,38.960750,33,4416,115.127023,38.980519,6,"1"
20140812104313,7958,3,3,0,1,9,114.980430,38.742750,34,3028,114.988304,38.750366,6,"1"
20140812104354,1244,3,3,0,1,9,115.860820,39.064750,24,6011,115.866346,39.243291,6,"1"
20140812104410,6455,3,3,0,1,9,115.354866,39.177780,32,4607,115.474811,39.315156,6,"1"
20140812104502,4957,2,6,0,1,5,115.538490,38.900780,26,9072,115.546837,38.908113,1,"1"
20140812104503,2137,2,1,1,2,7,114.995056,38.513077,35,8754,114.996985,38.517324,1,"1"
20140812104505,4441,2,4,0,1,6,115.461945,38.858334,23,7943,115.463187,38.867545,8,"1"
20140812104506,3513,2,1,1,2,7,115.444050,38.859260,30,4879,115.503107,38.864202,6,"1"
20140812104507,8823,2,2,0,1,5,115.456910,38.876590,33,3790,115.488512,38.889025,6,"1"
20140812104519,5109,2,1,1,2,2,114.930870,38.510070,30,8697,114.997979,38.515228,1,"1"
20140812104545,8875,2,2,0,1,5,115.652780,39.080833,24,6028,115.820043,39.260006,6,"1"
20140812104556,9047,2,1,1,2,7,115.173980,39.115340,35,5836,115.187380,39.117697,6,"1"
20140812104600,3073,1,2,1,1,5,115.465800,38.852870,24,9023,115.476652,38.854699,1,"1"
20140812104606,2018,3,3,0,1,9,114.698450,39.346470,30,5742,114.699267,39.359447,6,"1"
20140812104624,462,2,6,0,1,5,115.474160,38.881943,32,8978,115.494810,38.886561,1,"1"
20140812104624,6992,1,2,1,2,4,114.983480,38.747060,30,597,114.986720,38.751006,3,"1"
20140812104633,5237,2,1,1,2,7,115.496750,39.354122,35,10991,115.512522,39.356176,1,"1"
20140812104648,903,2,1,1,2,7,115.205080,38.737920,30,10494,115.474694,38.814135,1,"1"
20140812104648,9739,2,1,1,2,7,114.971510,38.325360,24,1632,114.994531,38.505974,6,"1"
20140812104651,8620,3,5,0,1,8,115.455990,38.842100,33,3836,115.500701,38.855078,6,"1"
20140812104652,8228,1,2,1,1,5,115.458800,38.827450,32,8010,115.461205,38.827931,8,"1"
20140812104717,4395,2,1,1,2,7,115.134120,38.699980,24,1749,115.139205,38.712009,6,"1"
20140812104748,9205,2,1,1,2,2,114.181960,38.852570,37,8506,114.186973,38.852886,1,"1"
20140812104753,4140,2,3,1,2,8,115.443610,38.534440,33,3293,115.448365,38.602877,6,"1"
20140812104806,4806,2,1,1,2,7,116.014850,39.483166,24,11892,116.015494,39.483206,1,"1"
20140812104828,1010,2,1,0,1,5,115.796200,39.262310,24,7483,115.800925,39.272247,8,"1"
20140812104858,4540,2,1,1,2,2,115.320560,38.943610,33,661,115.334344,38.956640,1,"1"
20140812104909,8104,2,1,1,2,2,115.135140,38.994710,31,10437,115.148708,39.005834,1,"1"
20140812104926,5889,3,3,0,1,9,115.510925,38.854284,24,3732,115.533330,38.859278,6,"1"
20140812104932,1504,2,6,0,1,5,115.560940,38.889240,23,7978,115.576077,38.892908,8,"1"
20140812104950,1656,2,1,1,2,7,115.474340,38.890070,32,4925,115.475418,38.890542,6,"1"
20140812104958,9802,2,1,1,2,7,114.995100,38.513100,33,8697,114.997979,38.515228,1,"1"
20140812105006,3230,2,2,0,1,5,115.529010,38.868774,33,3802,115.537730,38.871892,6,"1"
20140812105008,5269,2,6,0,1,5,115.500760,38.905580,34,9120,115.500920,38.911931,1,"1"
20140812105015,2107,2,1,1,2,7,116.027830,39.465270,33,11180,116.039080,39.475158,1,"1"
20140812105027,4820,3,3,0,1,9,115.452980,38.874058,34,4916,115.477206,38.874161,6,"1"
20140812105050,8645,2,1,1,2,7,116.052770,39.125510,36,6210,116.081877,39.144145,6,"1"
20140812105058,7228,1,2,1,1,5,115.487210,38.849870,23,7333,115.489114,38.863500,8,"1"
20140812105106,5101,2,1,1,2,2,115.794520,39.249430,33,11449,115.797895,39.252924,1,"1"
20140812105118,395,2,1,1,2,7,114.482350,39.224487,30,5764,114.696007,39.318317,6,"1"
20140812105123,9815,2,1,1,2,7,115.490135,38.766407,26,3164,115.490998,38.774892,6,"1"
20140812105138,1738,3,3,0,1,9,115.918800,38.932800,25,5175,115.924036,38.933573,6,"1"
20140812105145,348,2,6,0,1,5,116.032104,39.107105,35,11512,116.068080,39.126298,1,"1"
20140812105156,4913,2,1,1,2,7,115.452720,38.888570,25,3826,115.455551,38.891005,6,"1"
20140812105207,8575,2,6,0,1,5,116.023140,39.104218,34,11640,116.036574,39.111189,1,"1"
20140812105215,4702,2,1,1,2,7,116.109340,38.988250,36,5298,116.112687,38.989143,6,"1"
20140812105216,272,1,2,1,1,5,115.304470,39.118930,35,11027,115.392753,39.218363,1,"1"
20140812105218,3307,2,6,0,1,5,114.993060,38.352500,33,1649,115.058760,38.384803,6,"1"
20140812105222,3247,2,1,1,2,7,115.483980,38.881058,35,3790,115.488512,38.889025,6,"1"
20140812105227,7121,2,1,1,2,7,114.682500,39.358900,40,10879,114.702965,39.360110,1,"1"
20140812105313,4303,2,1,1,2,7,115.317474,38.421480,32,1029,115.347678,38.435286,6,"1"
20140812105319,3989,2,6,0,1,5,115.482080,38.899510,33,4965,115.485346,38.901599,6,"1"
20140812105352,6858,2,1,1,2,7,116.107590,38.982056,35,5560,116.111390,38.998586,6,"1"
20140812105356,489,2,1,1,2,7,116.111115,39.550278,30,11843,116.115122,39.550948,1,"1"
20140812105446,108,2,1,1,2,2,115.996290,39.482970,37,11196,116.006064,39.488823,1,"1"
20140812105448,6539,2,1,1,2,7,115.355580,38.757980,36,9647,115.366777,38.763351,1,"1"
20140812105505,3207,3,3,0,1,9,115.144400,38.706250,23,3147,115.165139,38.712361,6,"1"
20140812105511,4693,3,3,0,1,9,116.023140,39.104218,34,6255,116.041480,39.119041,6,"1"
20140812105522,9330,2,1,1,2,2,115.958600,39.390600,37,11895,116.002620,39.424545,1,"1"
20140812105528,7218,2,3,1,2,8,115.538210,38.850200,23,9130,115.548418,38.858119,9,"1"
