USERID,INCOME,ENTERTAINMENT,BABY,GENDER,SHOPPING
4818,02,01,1,02,07
2812,02,01,1,02,07
4003,01,02,1,01,05
8377,02,06,0,01,05
1993,03,03,0,01,09
1151,02,07,0,02,08
1592,02,01,1,02,02
4657,02,01,1,02,02
5143,02,01,1,02,07
8058,01,02,1,01,05
3235,02,01,1,02,07
5277,02,01,1,02,07
1486,01,05,0,01,01
8514,02,07,0,02,08
4433,03,03,0,01,09
6820,02,02,0,01,05
4041,02,04,0,01,06
3665,01,04,0,01,09
8109,02,02,0,01,05
5416,03,03,0,01,09
5553,01,02,1,01,05
8403,02,04,0,01,06
6418,02,01,1,02,02
1132,02,02,0,01,05
4957,02,06,0,01,05
1140,03,06,0,01,10
9053,02,01,0,01,05
9493,02,01,1,02,07
172,02,03,1,02,08
3876,02,06,0,01,05
2598,02,01,1,02,07
2811,02,06,0,01,05
4424,02,01,1,02,07
6810,02,01,1,02,02
2046,02,01,0,01,05
4283,02,01,1,02,02
3030,02,01,1,02,07
8277,02,06,0,01,05
6947,02,02,0,01,05
3364,01,01,1,02,01
7484,02,01,1,02,07
4675,03,03,0,01,09
6469,02,02,0,01,05
6447,02,06,0,01,05
9289,03,03,0,01,09
4332,02,01,1,02,02
1775,03,04,0,01,06
4323,02,06,0,01,05
5296,03,03,0,01,09
8987,02,06,0,01,05
881,03,05,0,01,03
330,01,06,0,01,08
190,03,01,0,01,10
2263,03,03,0,01,09
9867,02,06,0,01,06
1673,02,01,1,02,07
4354,02,03,0,01,01
1860,02,02,0,01,01
2096,02,06,0,01,05
2446,02,01,1,02,07
3401,02,02,0,01,05
9484,02,01,1,02,02
3205,02,04,0,01,06
8201,01,02,1,01,05
1560,02,06,0,01,05
5427,01,04,0,01,03
7199,02,01,1,02,07
6775,02,04,0,01,06
6996,02,01,1,02,07
1183,02,06,0,01,05
1900,02,01,1,02,07
8114,02,01,1,02,07
7688,03,03,0,01,09
2870,02,01,1,02,07
845,03,03,0,01,09
1214,02,03,1,02,08
6061,02,01,1,02,07
9229,02,01,1,02,07
7529,02,01,1,02,07
5465,02,01,0,01,05
1221,03,03,0,01,09
5717,02,01,1,02,07
9897,02,02,0,01,05
4870,01,02,1,01,05
856,02,06,0,01,05
2917,02,07,0,02,08
1850,02,01,1,02,07
7426,02,01,1,02,02
117,03,05,0,01,10
5656,02,06,0,01,05
288,01,02,1,01,05
8979,02,04,0,01,06
8920,02,01,1,02,07
842,02,01,1,02,07
7438,02,06,0,01,05
7723,01,02,1,01,05
7032,02,01,1,02,02
3206,01,04,0,01,03
7527,02,01,1,02,07
8871,02,01,1,02,02
381,02,02,0,01,05
9420,02,01,1,02,02
3604,01,05,0,01,07
1498,02,06,0,01,05
8196,02,01,1,02,02
126,02,01,1,02,07
9861,01,02,1,01,05
8279,02,01,1,02,07
2584,02,04,0,01,06
1710,02,02,0,02,04
8398,02,01,1,02,07
9226,02,01,1,02,07
649,02,06,0,01,05
6622,02,01,1,02,07
6136,02,06,0,01,05
8100,01,06,0,01,01
5900,02,01,0,01,05
6949,02,06,0,01,05
5952,01,02,0,01,04
8509,02,03,1,02,08
4192,03,03,0,01,09
7534,02,02,0,01,05
3475,01,02,1,01,05
2270,02,06,0,01,05
4244,01,02,0,01,10
5862,03,03,0,01,09
5021,02,06,0,01,05
5506,02,01,1,02,07
7354,02,02,0,01,02
213,02,01,0,01,03
4575,03,03,0,01,09
6784,02,01,1,02,02
977,02,01,1,02,02
8995,02,04,0,01,06
1561,02,01,1,02,07
651,01,04,0,01,01
8135,03,03,00,03,02
6438,02,01,1,02,02
6262,02,06,0,01,05
2376,01,02,1,01,05
2042,02,02,0,01,05
9580,02,02,0,01,03
4681,02,06,0,01,05
2887,01,02,1,01,05
5064,01,04,0,01,06
9738,02,06,0,01,05
6933,02,01,1,02,07
1738,03,03,0,01,09
9348,03,05,0,01,08
3208,03,03,0,01,09
7850,03,03,0,01,09
8679,02,01,1,02,07
2282,03,01,0,01,06
9014,02,01,1,02,07
7495,02,06,0,01,05
6908,02,02,0,01,05
1658,02,02,0,01,05
7000,02,02,0,01,05
3948,03,03,0,01,09
4741,02,01,0,01,05
1265,02,06,0,01,05
3369,03,03,0,01,09
9128,02,02,0,01,05
8202,02,07,0,02,08
1577,02,02,0,01,05
2709,02,01,1,02,07
5647,02,01,1,02,07
9194,02,01,1,02,07
1951,02,01,1,02,02
7915,03,05,0,01,08
7277,01,03,0,01,06
2241,03,03,0,01,09
9202,02,01,1,02,07
2323,02,02,0,01,01
736,02,01,1,02,02
1730,02,06,0,01,05
3063,02,06,0,01,05
7149,02,06,0,01,05
9495,02,01,1,02,07
1217,02,01,1,02,07
4651,02,01,1,02,07
827,01,01,0,01,05
7024,02,01,1,02,07
4234,01,05,0,01,01
7903,02,06,0,01,01
75,02,06,0,01,05
2123,02,02,0,01,07
7202,03,03,0,01,09
8494,02,01,0,01,05
4251,01,02,1,01,05
78,03,03,0,01,09
1883,02,01,1,02,07
4127,01,05,0,01,02
5678,03,03,0,01,09
8199,02,04,0,01,06
3572,01,02,0,01,06
2470,01,02,1,01,05
8940,02,01,1,02,02
6674,02,01,1,02,02
4235,02,06,0,01,05
8053,02,01,0,01,05
8167,02,06,0,01,05
8446,02,01,1,02,07
575,02,01,1,02,02
2357,02,01,1,02,07
5043,03,03,0,01,09
2383,02,01,1,02,07
9322,01,01,0,01,02
4896,02,01,1,01,06
2091,02,01,1,02,07
5342,01,02,0,01,08
8617,03,04,0,01,03
3363,02,06,0,01,02
1788,01,03,0,01,09
8778,03,05,0,01,10
3395,02,01,1,02,02
1341,02,02,0,01,05
5094,02,01,1,02,02
5552,02,03,1,02,08
5705,02,06,0,01,09
1882,02,01,1,02,07
9659,03,03,0,01,09
9406,02,02,0,01,08
6192,02,01,1,02,07
6220,03,03,0,01,09
9397,03,03,0,01,09
1530,02,01,0,01,05
1223,03,03,0,01,09
3902,02,01,1,02,07
9343,03,03,0,01,09
2209,01,02,1,01,05
4537,03,03,0,01,09
6691,01,02,1,01,05
8601,02,01,1,02,07
1581,02,06,0,01,05
8121,02,06,0,01,05
2331,03,03,0,01,09
6926,02,01,1,02,07
4076,02,01,1,02,07
5268,02,01,1,02,07
4477,02,02,0,01,05
3014,02,01,1,02,07
9431,02,01,1,02,07
1947,02,01,1,02,02
6037,01,06,0,01,01
4507,01,03,0,01,10
9935,03,01,0,01,06
4320,02,01,1,02,07
6701,02,06,0,01,05
3568,03,01,0,01,05
6385,02,06,0,01,05
2430,02,06,0,01,05
3167,02,01,1,02,02
4352,02,01,1,02,02
3971,03,03,0,01,09
3563,02,01,1,02,07
9914,02,06,0,01,05
5175,02,06,0,01,06
4618,01,02,1,01,05
3036,02,02,0,01,05
7196,03,03,0,01,09
6849,02,01,1,02,02
118,03,03,0,01,09
92,02,02,0,01,05
2714,02,06,0,01,05
1291,02,06,0,01,05
8276,02,01,1,02,02
8847,01,04,0,01,04
207,02,01,1,02,07
407,02,06,0,01,05
7784,03,03,0,01,09
4367,02,01,1,02,07
6057,03,03,0,01,09
9526,03,05,0,01,08
3266,02,06,0,01,05
6650,02,01,1,02,02
7747,02,03,1,02,08
3066,03,05,0,01,08
3802,03,03,0,01,07
2382,02,02,0,01,05
1034,03,03,0,01,09
4606,02,01,1,02,02
3594,03,03,0,01,09
6790,01,03,0,01,02
809,02,01,0,01,05
3853,02,06,0,01,05
7321,01,02,1,02,04
7442,02,01,1,02,07
4508,02,06,0,01,05
4997,02,01,1,02,02
4581,02,02,0,01,05
8984,01,02,1,01,05
6067,02,01,1,02,07
2731,02,01,1,02,07
3773,03,03,0,01,09
958,02,02,0,01,05
4580,02,06,0,01,05
5323,02,01,1,02,07
6723,02,06,0,01,05
9171,02,01,1,02,02
7758,02,06,0,01,05
6348,02,01,1,02,02
5823,03,03,0,01,09
8999,02,06,0,01,05
4011,02,06,0,01,05
1042,02,07,0,02,08
3615,02,04,0,01,10
1926,01,01,0,01,02
6821,03,03,0,01,09
1909,01,02,0,01,06
3198,02,06,0,01,05
6132,01,02,1,01,05
574,03,03,0,01,09
1753,02,03,0,01,05
1289,03,03,0,01,09
4913,02,01,1,02,07
7142,03,03,0,01,09
8089,02,06,0,01,05
9671,02,02,0,01,05
1961,02,01,1,02,07
2115,01,02,1,01,05
2,02,01,1,02,02
7185,01,02,1,01,05
8306,02,06,0,01,05
3781,03,03,0,01,09
818,02,05,0,01,01
2068,03,03,0,01,09
5494,02,01,1,02,07
4228,01,03,0,01,07
7084,02,06,0,01,05
6892,02,01,1,02,07
5044,02,06,0,01,05
391,03,03,0,01,09
6846,03,04,0,01,01
9815,02,01,1,02,07
952,02,01,1,02,07
5843,02,05,0,01,01
5636,02,06,0,01,05
6245,02,01,1,02,02
8908,01,02,0,01,05
4073,02,01,1,02,07
1920,01,02,1,01,05
2717,02,01,1,02,02
6369,02,06,0,01,05
2181,02,06,0,01,05
1292,02,01,1,02,07
7913,03,03,0,01,09
7955,02,07,0,02,08
3630,03,03,0,01,09
7267,03,03,0,01,09
1357,02,01,1,02,02
1430,02,01,1,02,07
5333,01,02,1,01,05
7489,02,01,1,02,07
3286,02,01,0,01,05
1432,02,01,1,02,07
7315,01,01,0,01,06
7786,01,05,0,01,06
5172,02,06,0,01,06
3620,03,03,0,01,09
4201,02,02,0,01,05
5373,01,02,1,01,05
3452,02,01,1,02,07
3861,02,06,0,01,05
3601,02,01,1,02,07
7,02,01,1,02,07
7882,02,02,0,01,05
248,02,01,0,01,05
2520,02,01,1,02,02
4800,02,01,1,02,07
8195,03,01,0,01,03
2814,02,07,0,02,08
8845,02,06,0,01,05
7334,03,01,0,01,05
3626,01,02,1,01,05
7449,02,06,0,01,05
4578,02,06,0,01,05
8008,02,01,1,02,02
6854,03,03,0,01,09
9725,02,06,0,01,05
2285,02,01,1,02,07
5400,02,04,0,02,02
7876,02,01,1,02,07
9905,02,01,1,02,07
8797,02,01,1,02,02
6558,03,03,0,01,09
9130,01,02,1,01,05
4795,02,01,1,02,07
5087,02,01,1,02,02
9350,02,01,1,02,07
5138,02,01,1,02,02
7703,02,06,0,01,05
7329,03,03,0,01,09
3493,03,03,0,01,09
5248,02,01,0,01,05
8120,02,06,0,01,05
4479,03,01,0,01,06
8571,02,06,0,01,05
8419,02,06,0,01,05
8428,02,01,1,02,02
3464,02,01,1,02,02
8673,02,01,1,02,02
8232,02,01,1,02,02
6850,02,01,1,02,02
6276,01,05,0,01,06
6250,02,01,1,02,02
9040,03,03,0,01,09
3970,02,01,1,02,02
7647,01,02,0,01,05
3199,02,04,0,01,06
6169,02,02,0,01,05
5610,02,02,0,01,05
1887,02,01,1,02,07
2960,01,02,1,01,05
7111,02,01,0,01,05
6569,01,02,0,01,05
9605,02,01,1,02,07
1892,02,01,1,02,07
3070,02,01,1,02,07
9035,01,02,0,01,05
8991,03,01,0,01,06
9453,03,05,0,01,01
4450,01,02,1,01,05
2952,02,01,1,02,07
988,02,01,1,02,07
8488,01,02,1,01,05
7653,02,01,0,01,09
9741,01,02,0,01,08
9146,03,03,0,01,09
191,02,06,0,01,05
1046,02,06,0,01,05
6224,01,01,0,01,08
6405,01,02,0,01,08
7228,01,02,1,01,05
3386,03,03,0,01,09
2184,02,06,0,01,05
9364,02,01,0,01,05
9121,01,02,1,01,05
1442,02,02,0,01,05
3209,02,01,1,02,07
2439,02,01,1,02,07
9891,02,01,1,02,02
9083,02,01,1,02,07
8323,02,01,1,02,07
8060,02,01,1,02,07
9930,02,01,1,02,07
6973,01,02,1,01,05
4525,02,01,1,02,02
4186,02,04,0,01,09
48,02,01,1,02,07
6661,02,01,1,02,02
8216,02,01,1,02,02
4348,01,01,0,01,01
6654,03,05,0,01,08
9148,02,02,0,01,05
3936,02,02,0,01,05
1433,03,01,0,01,06
1722,03,03,0,01,09
6194,02,01,1,02,07
5790,02,03,0,01,08
316,03,03,0,01,09
682,03,03,0,01,09
1942,03,03,0,01,09
4173,02,01,1,02,02
9825,01,02,0,01,01
9034,01,02,0,01,10
4240,02,01,1,02,07
7924,02,04,0,01,06
5317,02,01,1,02,07
7458,02,04,0,01,06
9568,02,01,1,02,07
7420,02,06,0,01,05
6272,02,01,1,02,07
5054,02,01,1,02,07
9400,02,01,1,02,07
6877,02,04,0,01,06
5489,01,02,1,01,05
8885,02,06,0,01,06
1919,02,01,1,02,07
6173,02,02,0,01,05
3775,01,02,0,01,05
210,03,03,0,01,09
6798,02,02,0,01,05
779,02,01,1,02,02
8479,02,01,1,02,07
85,02,01,1,02,07
1714,01,02,1,01,05
6413,02,01,1,02,02
8613,02,06,0,01,05
7070,02,01,1,02,02
930,02,02,0,02,04
2965,02,02,0,01,05
5484,01,02,1,01,05
7540,01,02,1,01,05
9242,01,03,0,01,02
9513,02,06,0,01,05
7608,01,02,0,01,06
198,02,06,0,01,05
3351,02,01,1,02,07
2962,02,01,1,02,07
4533,02,06,0,01,05
354,03,04,0,01,04
5670,03,03,0,01,09
593,02,01,1,02,02
2266,02,01,1,02,07
6975,02,01,1,02,07
2762,03,03,0,01,09
5348,03,03,0,01,09
6009,02,01,1,02,07
7694,02,01,1,02,07
1769,02,01,1,02,07
2555,02,01,1,02,02
91,02,06,0,01,05
9511,02,01,1,02,07
8853,02,04,0,01,06
1976,02,06,0,01,05
3980,02,02,0,01,06
3697,02,01,1,02,02
5734,02,01,1,02,02
9291,02,01,0,01,05
5699,03,03,0,01,09
7811,02,01,1,02,07
3267,02,01,1,02,02
2871,02,01,1,02,07
2033,02,01,1,02,07
6170,02,06,0,01,05
3867,02,06,0,01,05
1122,03,01,0,01,06
9822,02,06,0,01,05
2283,02,01,1,02,02
3237,02,06,0,01,05
915,02,01,1,02,07
9369,02,02,1,02,08
1630,01,01,0,01,01
2705,02,01,1,02,07
2936,01,02,0,01,04
4255,03,03,0,01,09
8564,03,03,0,01,09
5438,01,02,1,01,05
2233,02,01,1,02,02
9019,02,01,1,02,07
8641,02,01,1,02,07
310,01,02,1,02,04
8576,02,06,0,01,05
7652,02,06,0,01,05
3895,01,05,0,01,03
7862,02,01,1,02,07
3089,03,02,0,01,03
1155,03,03,0,01,09
6692,02,01,1,02,02
2106,02,06,0,01,06
8110,01,02,1,01,05
3573,02,02,0,01,05
2417,03,03,0,01,10
6039,02,01,1,02,07
2991,02,02,0,01,05
3952,02,01,0,01,05
4836,02,01,1,02,02
601,02,06,0,01,05
6948,02,01,1,02,07
7673,02,02,0,01,01
8267,02,01,1,02,07
6651,03,03,0,01,09
4513,01,02,1,01,05
1959,03,03,0,01,09
7818,02,06,0,01,05
4363,01,02,1,01,05
1890,03,03,0,01,09
9184,02,06,0,01,05
1347,02,06,0,01,05
2361,02,01,1,02,07
621,01,02,1,01,05
3554,02,06,0,01,05
9557,02,06,0,01,05
3049,03,03,0,01,09
4256,02,01,1,02,07
4967,02,06,0,01,05
318,01,02,1,01,05
4586,01,02,0,01,05
9445,01,02,1,01,05
2069,03,01,0,01,05
9092,02,02,0,01,05
1657,02,01,1,02,02
813,02,02,0,01,05
3562,02,01,0,01,05
3662,02,01,1,02,07
6270,03,03,0,01,09
2825,02,01,1,02,02
7702,02,01,1,02,07
9721,02,03,0,01,09
6137,03,03,0,01,09
1407,03,03,0,01,09
4177,02,01,1,02,02
732,03,03,0,01,09
6687,02,01,1,02,07
3500,02,01,1,02,02
7517,02,02,0,01,05
2433,02,06,0,01,04
3451,02,01,1,02,07
3608,02,01,1,02,07
1504,02,06,0,01,05
1526,03,04,0,01,10
811,02,06,0,01,05
6952,03,03,0,01,09
5472,02,02,0,01,05
1987,01,06,0,01,01
6616,02,02,0,01,07
338,02,01,1,02,07
3741,03,06,0,01,05
5186,02,01,1,02,07
6612,02,06,0,01,03
2501,02,01,1,02,02
7947,02,01,0,01,05
7343,02,01,1,02,07
9167,02,01,0,01,05
6681,03,03,0,01,09
6965,01,02,1,01,05
9426,02,01,0,01,05
7631,02,02,0,01,05
3510,01,06,0,01,06
774,03,05,0,01,05
1636,03,03,0,01,09
3222,02,01,1,02,02
6306,01,04,0,01,06
7488,03,01,0,01,06
5170,03,03,0,01,09
6196,02,03,0,01,03
4954,02,01,1,02,07
1397,02,02,0,01,05
3753,02,01,1,02,07
5429,02,01,1,02,07
6802,03,02,0,01,09
265,03,03,0,01,09
125,03,03,0,01,09
6402,02,01,1,02,07
6465,02,06,0,01,05
2187,02,01,1,02,07
4026,02,02,0,01,05
7966,02,01,1,02,07
7218,02,03,1,02,08
1302,01,03,0,01,08
5072,03,03,0,01,09
7151,02,01,1,02,07
7335,03,03,0,01,10
9306,02,01,1,02,02
205,02,01,1,02,02
6983,02,01,1,02,02
7636,02,02,0,01,08
7845,03,03,0,01,09
5119,03,04,0,01,06
9850,02,06,0,01,05
3529,03,03,0,01,06
8793,02,01,1,02,07
4441,02,04,0,01,06
5116,02,01,1,02,07
6126,02,01,1,02,07
2019,03,03,0,01,09
5209,02,02,0,01,05
4642,02,01,1,02,07
5380,03,06,0,01,01
699,02,01,1,02,07
1200,02,03,0,01,07
372,01,02,0,01,06
5002,03,03,0,01,09
3098,02,01,1,02,07
8519,02,01,1,02,07
7917,02,06,0,01,05
4360,02,01,0,01,05
9315,02,06,0,01,05
6899,02,01,1,02,02
219,03,03,0,01,09
3847,02,01,1,02,02
1838,02,02,0,01,05
3612,01,02,1,01,05
2268,02,02,0,01,09
6689,02,04,0,01,06
5497,02,06,0,01,06
6957,03,03,0,01,09
3522,02,03,0,01,03
8260,01,02,1,01,05
8153,02,06,0,01,05
8532,02,02,0,01,05
1270,02,01,1,02,02
1681,02,01,1,02,07
4016,02,01,1,02,02
6491,02,06,0,01,05
8402,02,02,0,01,05
6631,03,03,0,01,09
710,02,06,0,01,07
8929,02,01,1,02,07
7720,02,02,0,01,05
1786,02,06,0,01,05
9024,02,01,1,02,02
2416,02,01,1,02,07
504,03,03,0,01,09
9272,02,06,0,01,05
2373,02,02,0,01,09
7434,02,01,1,02,07
20,02,06,0,01,05
883,02,01,1,02,07
7330,01,02,1,01,05
7643,02,02,0,01,05
9776,02,01,1,02,02
9746,01,02,0,01,08
9193,02,01,1,02,07
9516,03,03,0,01,09
4180,01,02,1,01,05
379,02,01,1,02,07
84,02,01,1,02,02
1171,01,01,1,02,01
7278,01,03,0,01,10
6795,02,01,1,02,07
6783,02,05,0,01,05
4880,02,01,1,02,07
3092,03,01,0,01,06
8811,02,01,1,02,07
9567,02,01,1,02,07
6383,02,06,0,01,05
6834,02,02,0,01,05
3056,02,06,0,01,05
6639,02,01,0,01,01
2579,03,03,0,01,09
1897,02,01,1,02,07
9872,03,04,0,01,02
2943,03,03,0,01,03
2857,02,01,1,02,07
2573,02,01,1,02,07
5945,02,02,0,01,05
8862,01,02,0,01,05
7241,02,01,1,02,07
676,02,01,1,02,07
1,02,06,0,01,05
435,02,01,1,02,02
286,02,01,1,02,07
68,02,01,1,02,07
2784,02,01,1,02,07
3899,02,06,0,01,05
9814,02,01,1,02,07
7914,02,01,1,02,02
5749,02,01,1,02,07
7047,02,06,0,01,05
3566,02,01,1,02,07
9180,02,01,1,02,07
9530,03,03,0,01,09
7846,02,02,0,01,05
6862,03,03,0,01,09
1170,02,01,1,02,02
5145,01,02,1,01,05
5445,02,01,1,02,02
8711,02,06,0,01,05
9018,02,01,1,02,02
2564,02,04,0,01,06
171,02,01,1,02,02
6236,02,01,1,02,07
4672,02,01,0,01,05
9409,01,02,1,01,05
1676,02,06,0,01,05
42,02,01,1,02,07
1361,02,01,1,02,07
6778,01,02,1,01,05
6713,02,06,0,01,05
4835,02,01,1,02,07
921,02,02,0,01,05
9265,02,03,1,02,08
8359,02,04,0,01,06
111,02,01,1,02,02
4807,02,01,1,02,02
7685,02,06,0,01,05
1331,03,03,0,01,09
4720,02,01,1,02,02
7350,03,03,0,01,09
1262,02,02,0,01,06
9481,02,01,1,02,07
3791,03,03,0,01,09
9156,01,02,1,02,04
9347,02,04,0,01,06
1180,02,06,0,01,05
519,01,03,0,01,03
7697,01,02,1,02,07
1016,02,06,0,01,03
6547,02,01,1,02,07
2966,02,01,1,02,07
3389,02,05,0,01,04
6900,03,03,0,01,09
7582,02,01,1,02,07
1918,02,01,0,01,10
7015,02,01,1,02,07
8849,02,06,0,01,05
7536,01,06,0,01,07
1203,01,02,0,01,01
4736,02,01,0,01,05
6292,02,01,1,02,02
7970,03,03,0,01,09
1727,02,03,1,02,08
4850,02,04,0,01,06
6150,02,01,1,02,07
3312,01,02,1,01,05
1284,02,01,1,02,07
2747,01,02,0,01,06
8506,02,06,0,01,05
9666,02,01,1,02,07
4814,02,01,1,02,07
8020,03,03,0,01,09
3270,03,03,0,01,09
1068,03,03,0,01,09
2592,03,03,0,01,09
3481,03,03,0,01,09
7672,02,06,0,01,05
9045,02,01,1,02,07
2264,02,03,1,02,08
3471,03,03,0,01,09
7399,02,06,0,01,05
5476,03,04,0,01,09
4711,02,01,1,02,07
7945,02,01,1,02,02
301,02,01,1,02,02
6706,02,06,0,01,05
1431,02,01,1,02,07
2890,02,01,1,02,07
1143,01,03,0,01,06
7143,02,01,1,02,07
8608,02,01,1,02,07
9571,02,01,1,02,07
6936,03,03,0,01,09
8194,02,02,0,01,05
9797,02,01,1,02,02
7068,02,02,0,02,04
7036,02,06,0,01,05
6525,02,06,0,01,05
276,03,03,0,01,09
8299,02,01,1,02,07
2821,02,01,0,01,05
6440,02,01,1,02,07
5286,02,01,1,02,07
1742,02,01,1,02,07
3713,03,04,0,01,07
2396,02,01,1,02,02
3245,02,06,0,01,05
2488,03,03,0,01,09
9098,03,03,0,01,09
7781,03,02,0,01,01
686,03,01,0,01,10
7509,02,01,1,02,07
4526,01,04,0,01,06
7363,02,01,1,02,07
8824,02,02,0,01,05
2404,03,03,0,01,09
4426,02,06,0,01,05
4596,02,06,0,01,05
5310,03,03,0,01,09
5910,02,06,0,01,05
9682,02,01,1,02,07
8867,03,03,0,01,09
1363,02,01,1,02,07
1597,01,02,0,01,08
1236,03,03,0,01,09
8235,01,02,1,01,05
4334,03,05,0,01,02
8106,02,02,0,01,05
745,01,02,1,01,05
4407,02,01,1,02,07
8116,02,04,0,01,06
3186,01,02,1,01,05
7734,02,01,1,02,02
3382,02,02,0,01,05
3841,01,02,1,01,05
7633,02,03,0,01,01
4998,02,01,1,02,07
3207,03,03,0,01,09
2442,02,01,1,02,07
7502,03,01,0,01,06
741,03,01,0,01,06
853,02,02,0,01,05
6477,02,01,0,01,05
4469,01,01,0,01,04
5870,02,03,0,01,01
1935,02,02,0,01,05
4286,01,02,1,02,04
7545,02,02,0,01,05
960,02,01,1,02,07
4036,02,01,0,01,07
6673,01,01,1,02,01
2155,02,01,1,02,07
6370,01,02,0,01,06
5367,02,01,1,02,07
5797,02,01,1,02,02
3311,03,03,0,01,09
3514,02,04,0,01,06
2342,01,02,1,01,05
3732,02,01,1,02,07
8850,02,01,1,02,07
7283,02,06,0,01,05
8578,02,06,0,01,05
2647,02,01,1,02,07
9501,02,03,0,01,05
5795,03,03,0,01,09
2759,01,06,0,01,10
8364,02,02,0,01,05
6091,02,01,1,02,07
5642,02,01,1,02,02
8603,02,03,0,01,07
9851,01,02,1,01,05
451,02,06,0,01,05
1055,02,01,1,02,07
146,03,05,0,01,06
3675,02,01,1,02,07
1531,02,01,1,02,07
6986,01,03,0,01,04
8019,02,01,1,02,07
6760,02,01,0,01,08
4452,02,01,1,02,02
280,02,01,1,02,07
7273,03,03,0,01,09
3938,01,06,0,01,04
2795,02,01,1,02,07
3632,02,01,0,01,05
9724,02,01,1,02,07
7133,02,06,0,01,05
630,02,02,0,01,02
8418,02,01,1,02,07
4417,03,03,0,01,09
3033,02,01,1,02,02
8442,02,01,1,02,07
931,01,04,0,01,06
9228,03,03,0,01,09
3005,03,03,0,01,09
2127,03,03,0,01,09
1509,02,02,0,01,05
4546,03,03,0,01,09
5421,02,06,0,01,05
9875,02,02,1,02,08
7707,03,01,0,01,06
4845,02,01,1,02,07
762,01,02,1,01,05
1604,03,03,0,01,09
3423,02,01,1,02,02
5297,02,02,0,01,05
8566,02,01,1,02,02
6739,02,06,0,01,05
6310,02,06,0,01,05
5520,03,06,0,01,06
4195,02,01,1,02,07
7576,03,05,0,01,05
8757,03,03,0,01,09
9251,02,01,1,02,07
1009,02,01,1,02,07
5951,02,06,0,01,05
378,03,03,0,01,09
7227,02,06,0,01,05
25,02,01,1,02,07
725,02,06,0,01,05
6448,02,06,0,01,06
5916,01,02,0,01,05
3093,03,03,0,01,09
8942,02,01,1,02,07
5318,02,01,1,02,07
2070,01,06,0,01,04
6923,01,02,1,01,05
802,03,03,0,01,09
9543,02,01,1,02,07
9023,03,03,0,01,02
1141,02,01,0,01,05
8830,02,06,0,01,05
8848,02,06,0,01,05
2366,03,03,0,01,09
8129,01,02,1,01,05
8088,01,02,0,01,05
7140,03,04,0,01,08
4043,02,01,1,02,07
3285,02,05,0,01,04
433,01,02,1,01,05
5535,02,06,0,01,05
8215,02,01,1,02,07
1373,02,01,1,02,02
365,02,01,1,02,07
5167,02,06,0,01,05
2984,02,01,1,02,07
4018,02,06,0,01,02
6826,02,06,0,01,05
7620,02,02,0,01,05
3723,01,02,1,01,05
7887,02,01,1,02,02
5770,02,01,1,02,02
5575,02,05,0,01,06
2535,03,03,0,01,09
5651,02,02,0,01,05
1103,03,02,0,01,07
8567,03,03,0,01,09
6384,03,03,0,01,09
4603,02,01,1,02,07
852,03,03,0,01,09
4471,02,01,1,02,07
3174,02,04,0,01,06
576,03,03,0,01,09
6804,02,02,0,01,05
6304,02,01,1,02,02
2057,01,02,1,01,05
